index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,4277.987,3559.432
0,polygon,1,4324.9663,3533.807
0,polygon,2,4367.6743,3516.7236
0,polygon,3,4418.9243,3512.453
0,polygon,4,4470.1743,3516.7236
0,polygon,5,4508.612,3550.8901
0,polygon,6,4542.7783,3589.3276
0,polygon,7,4576.9453,3632.0361
0,polygon,8,4602.5703,3670.4734
0,polygon,9,4632.466,3708.911
0,polygon,10,4683.716,3785.786
0,polygon,11,4705.07,3837.036
0,polygon,12,4713.612,3884.0151
0,polygon,13,4739.237,3986.515
0,polygon,14,4747.7783,4029.2231
0,polygon,15,4760.591,4076.2024
0,polygon,16,4781.945,4123.1816
0,polygon,17,4790.487,4165.8896
0,polygon,18,4790.487,4212.869
0,polygon,19,4786.216,4264.119
0,polygon,20,4777.6743,4311.098
0,polygon,21,4773.4033,4353.806
0,polygon,22,4756.32,4396.5146
0,polygon,23,4743.5073,4439.223
0,polygon,24,4722.1533,4481.931
0,polygon,25,4696.5283,4520.3687
0,polygon,26,4658.091,4554.535
0,polygon,27,4564.133,4597.2437
0,polygon,28,4521.4243,4618.5977
0,polygon,29,4465.9033,4639.952
0,polygon,30,4418.9243,4661.306
0,polygon,31,4371.9453,4674.1187
0,polygon,32,4145.5913,4695.4727
0,polygon,33,4047.362,4704.0146
0,polygon,34,3953.4038,4704.0146
0,polygon,35,3910.6956,4699.7437
0,polygon,36,3825.279,4674.1187
0,polygon,37,3778.2998,4652.7646
0,polygon,38,3735.5916,4631.41
0,polygon,39,3692.8833,4614.327
0,polygon,40,3645.904,4584.431
0,polygon,41,3611.7375,4554.535
0,polygon,42,3581.8416,4516.098
0,polygon,43,3603.1958,4477.6606
0,polygon,44,3569.029,4443.4937
0,polygon,45,3500.6958,4383.702
0,polygon,46,3479.3418,4340.9937
0,polygon,47,3479.3418,4294.0146
0,polygon,48,3487.8833,4247.0356
0,polygon,49,3513.5083,4208.598
0,polygon,50,3556.2166,4195.7856
0,polygon,51,3586.1125,4229.952
0,polygon,52,3607.4666,4268.3896
0,polygon,53,3637.3625,4302.556
0,polygon,54,3680.0708,4336.723
0,polygon,55,3799.654,4417.8687
0,polygon,56,3838.0916,4439.223
0,polygon,57,3880.7998,4456.306
0,polygon,58,3927.7788,4473.3896
0,polygon,59,4013.1956,4490.473
0,polygon,60,4060.1746,4490.473
0,polygon,61,4102.883,4486.202
0,polygon,62,4154.133,4486.202
0,polygon,63,4282.258,4473.3896
0,polygon,64,4324.9663,4464.848
0,polygon,65,4367.6743,4447.7646
0,polygon,66,4401.8413,4413.598
0,polygon,67,4444.5493,4387.973
0,polygon,68,4482.987,4358.077
0,polygon,69,4512.883,4319.6396
0,polygon,70,4534.237,4276.9316
0,polygon,71,4551.3203,4229.952
0,polygon,72,4555.591,4182.973
0,polygon,73,4555.591,4131.723
0,polygon,74,4551.3203,4084.7441
0,polygon,75,4538.508,4037.765
0,polygon,76,4517.1533,3999.3274
0,polygon,77,4427.466,3858.3901
0,polygon,78,4376.2163,3764.432
0,polygon,79,4354.862,3721.7234
0,polygon,80,4269.4453,3567.9736
